"Date","MONTH","CHIRP_KIR","CHIRP_MUY","OBS_KIR","OBS_MUY","ERA5_KIR","ERA5_MUY"
2001-01-01,1,"131.98800000000003","151.086","148.599999936","125.1","130.0","186.0"
2001-02-01,2,"66.03","76.245","36.799999955500006","134.29999999999998","74.0","120.0"
2001-03-01,3,"153.423","133.54999999999998","66.19999993369998","141.0","146.0","178.0"
2001-04-01,4,"152.76800000000006","136.697","135.7999998885","139.3","142.0","136.0"
2001-05-01,5,"90.684","94.69300000000001","63.9999999443","54.50000000000001","61.0","62.0"
2001-06-01,6,"8.46","4.119000000000001","5.6999999999","1.8","1.0","0.0"
2001-07-01,7,"12.690000000000001","7.626","88.39999992070001","0.0","28.0","27.0"
2001-08-01,8,"23.668999999999997","12.51","36.099999968000006","2.5","15.0","15.0"
2001-09-01,9,"111.91","131.75","126.59999995170001","161.99999999999997","109.0","131.0"
2001-10-01,10,"164.71","166.511","130.89999991329998","165.79999999999998","146.0","164.0"
2001-11-01,11,"191.613","163.11399999999998","78.49999995050001","222.6","148.0","210.0"
2001-12-01,12,"90.98000000000002","122.141","98.1999999981","70.6","91.0","152.0"
2002-01-01,1,"122.387","146.00400000000002","106.0999999436","142.8","146.0","198.0"
2002-02-01,2,"74.824","81.06400000000001","95.0999998841","40.9","61.0","93.0"
2002-03-01,3,"178.126","175.48499999999999","174.69999992340004","158.8","152.0","193.0"
2002-04-01,4,"225.68899999999996","216.10199999999998","185.4999998452","166.8","186.0","229.0"
2002-05-01,5,"124.23899999999999","105.386","178.9999997789","166.00000000000003","76.0","76.0"
2002-06-01,6,"4.2250000000000005","1.052","0.0","0.0","0.0","0.0"
2002-07-01,7,"2.449","0.41","0.0","0.0","0.0","0.0"
2002-08-01,8,"11.882","8.303","0.0","0.0","1.0","1.0"
2002-09-01,9,"25.703","21.084","66.49999994020001","15.0","3.0","2.0"
2002-10-01,10,"87.27799999999999","79.93499999999999","64.1999999434","49.6","87.0","95.0"
2002-11-01,11,"124.47699999999999","120.025","121.79999985869999","142.4","147.0","202.0"
2002-12-01,12,"124.54300000000002","137.45000000000002","60.8999999372","160.4","156.0","222.0"
2003-01-01,1,"70.306","83.83","129.1999998423","119.7","56.0","90.0"
2003-02-01,2,"77.39399999999999","88.35300000000002","88.79999994539999","62.79999999999999","46.0","71.0"
2003-03-01,3,"89.41600000000001","98.965","132.1999998595","77.8","89.0","115.0"
2003-04-01,4,"158.762","160.024","286.29999976050004","199.3","125.0","149.0"
2003-05-01,5,"96.035","115.24900000000001","103.09999985300001","135.3","96.0","85.0"
2003-06-01,6,"8.878","4.227","3.1000000001000005","0.0","3.0","3.0"
2003-07-01,7,"1.403","0.38","8.4999999814","0.0","0.0","0.0"
2003-08-01,8,"25.179","17.936000000000003","61.2999999496","18.0","6.0","5.0"
2003-09-01,9,"66.25899999999999","48.381","79.99999990170001","62.50000000000001","29.0","30.0"
2003-10-01,10,"125.81899999999999","116.53800000000001","77.8999999283","112.3","108.0","116.0"
2003-11-01,11,"131.645","134.18499999999997","108.89999990900003","113.7","123.0","168.0"
2003-12-01,12,"89.21900000000001","104.45600000000002","57.4999999466","128.1","66.0","110.0"
2004-01-01,1,"100.92299999999997","118.47600000000001","68.49999993860001","138.9","79.0","112.0"
2004-02-01,2,"100.07699999999998","112.49999999999999","174.7999997816","166.60000000000002","83.0","125.0"
2004-03-01,3,"158.971","161.762","156.4999998917","244.9","121.0","161.0"
2004-04-01,4,"217.54899999999998","188.82400000000004","212.1999998059","224.00000000000003","165.0","199.0"
2004-05-01,5,"42.83999999999999","28.938","24.699999979700003","36.0","10.0","9.0"
2004-06-01,6,"4.709999999999999","1.242","0.0","0.0","0.0","0.0"
